id,label
4901,Left
4902,Left
4903,Left
4904,Left
4905,Left
4906,Left
4907,Left
4908,Left
4909,Left
4910,Left
4911,Right
4912,Right
4913,Right
4914,Right
4915,Right
4916,Right
4917,Right
4918,Right
4919,Right
4920,Right
4921,Left
4922,Left
4923,Left
4924,Left
4925,Left
4926,Left
4927,Left
4928,Left
4929,Left
4930,Left
4931,Left
4932,Left
4933,Left
4934,Left
4935,Left
4936,Left
4937,Left
4938,Left
4939,Left
4940,Left
4941,Left
4942,Left
4943,Left
4944,Left
4945,Left
4946,Left
4947,Left
4948,Left
4949,Left
4950,Left
4951,Forward
4952,Forward
4953,Forward
4954,Forward
4955,Forward
4956,Forward
4957,Forward
4958,Forward
4959,Forward
4960,Forward
4961,Forward
4962,Forward
4963,Forward
4964,Forward
4965,Forward
4966,Forward
4967,Forward
4968,Forward
4969,Forward
4970,Forward
4971,Forward
4972,Forward
4973,Forward
4974,Forward
4975,Forward
4976,Forward
4977,Forward
4978,Forward
4979,Forward
4980,Forward
4981,Forward
4982,Forward
4983,Forward
4984,Forward
4985,Forward
4986,Forward
4987,Forward
4988,Forward
4989,Forward
4990,Forward
4991,Forward
4992,Forward
4993,Forward
4994,Forward
4995,Forward
4996,Forward
4997,Forward
4998,Forward
4999,Forward
5000,Forward
